spotify_artists,,,,,
name,bio,email,profile_pic,spty_url,spty_uri
Top Artists,,top_artists@futureforward.net,https://i.scdn.co/image/ab67616d0000b27312ffbeb5cdff376eedb7ac6f,https://open.spotify.com/artist/4FQVjBceprFxsmiyEEZWxB,spotify:artist:4FQVjBceprFxsmiyEEZWxB
Veigh,,veigh@quantumleap.com,https://i.scdn.co/image/ab6761610000e5ebc97ae4af9d554b04097954b5,https://open.spotify.com/artist/4YqwRbMLqGHRHLS1w2ZKse,spotify:artist:4YqwRbMLqGHRHLS1w2ZKse
Billie Eilish,,billie_eilish@truenorthconsult.co,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
Top Artists,,top_artists@elevatesuccess.org,https://i.scdn.co/image/ab67616d0000b27385911bf8afaa93c0ea476ecf,https://open.spotify.com/artist/1BwMo2LqI5YKQiNyxPycjA,spotify:artist:1BwMo2LqI5YKQiNyxPycjA
Xamã,,xamã@masterfulresults.net,https://i.scdn.co/image/ab6761610000e5eb367afe9e5b30fbb6a67a8807,https://open.spotify.com/artist/5YwzDz4RJfTiMHS4tdR5Lf,spotify:artist:5YwzDz4RJfTiMHS4tdR5Lf
Kendrick Lamar,,kendrick_lamar@premieralliance.com,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
Top Artists,,top_artists@synergypath.io,https://i.scdn.co/image/ab67616d0000b2738e78cab5dcc4bde215026826,https://open.spotify.com/artist/1I34SuhIw2RFX5029VEfvV,spotify:artist:1I34SuhIw2RFX5029VEfvV
MC PH,,mc_ph@brightfuturesolutions.tech,https://i.scdn.co/image/ab6761610000e5ebbeeaaa1e723c05117134bb57,https://open.spotify.com/artist/4PLdCloYxu2bMKfuuB9lI5,spotify:artist:4PLdCloYxu2bMKfuuB9lI5
Bad Bunny,,bad_bunny@catalystgrowth.info,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,spotify:artist:4q3ewBCX7sLwd24euuV69X
Top Artists,,top_artists@infinitepossibilities.biz,https://i.scdn.co/image/ab67616d0000b2737b76d664fe55ab3c6ff996bd,https://open.spotify.com/artist/5GcLc7wpggGtZT3Nkt5idG,spotify:artist:5GcLc7wpggGtZT3Nkt5idG
